"DeviceId","SystemName","OrganizationId","CollectedUtc","Privilege","Trustee","SID"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeNetworkLogonRight","Everyone","S-1-1-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeNetworkLogonRight","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeNetworkLogonRight","BUILTIN\Users","S-1-5-32-545"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeNetworkLogonRight","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeBackupPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeBackupPrivilege","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","Everyone","S-1-1-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","BUILTIN\Users","S-1-5-32-545"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeChangeNotifyPrivilege","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeSystemtimePrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeSystemtimePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeCreatePagefilePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeDebugPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeRemoteShutdownPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:44:42 PM","SeAuditPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
